"class","order","family","genus","sci_name","atlantic","ne_pacific","nw_pacific","indian","mediterranean","s_pacific","alb_global_analysis","cclme_alb_diet","cclme_fed_saip_pre","cclme_frdcps","cclme_dfo","cclme_iys","atl_med_ind","pacific"
"Cephalopoda","Octopoda","Eledonidae","Eledone","Eledone cirrhosa",1,0,0,0,1,0,1,0,0,0,0,0,1,0
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Embassichthys","Embassichthys bathybius",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis capensis",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus",1,0,0,0,1,0,1,0,0,0,0,0,1,0
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus",0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax",0,1,0,0,0,0,1,1,1,1,1,0,0,1
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus","Entelurus aequoreus",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Petromyzonti","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","Eopsetta jordani",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Myxini","Myxiniformes","Myxinidae","Eptatretus","Eptatretus stoutii",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis","Eucleoteuthis luminosa",0,1,0,1,0,0,1,1,0,1,0,0,1,1
"Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia gibboides",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia mutica",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia pacifica",0,1,0,0,0,0,1,1,0,0,0,1,0,1
"Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia recurva",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Malacostraca","Decapoda","Sergestidae","Eusergestes","Eusergestes arcticus",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Sergestidae","Eusergestes","Eusergestes similis",0,1,0,0,0,0,1,1,0,0,0,0,0,1
"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Pinnotheridae","Fabia","Fabia subquadrata",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Hexanauplia","Cyclopoida","Corycaeidae","Farranula","Farranula gibbula",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Penaeidae","Funchalia","Funchalia taaningi",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Penaeidae","Funchalia","Funchalia woodwardi",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus chalcogrammus",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus vulgaris",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus",0,0,0,0,0,0,0,0,0,1,1,0,0,1
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis","Galiteuthis armata",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis","Galiteuthis phyllura",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Perciformes","Gempylidae","Gempylus","Gempylus serpens",0,1,0,1,0,0,1,0,0,0,0,0,1,1
"Malacostraca","Decapoda","Benthesicymidae","Gennadas","Gennadas elegans",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Sciaenidae","Genyonemus","Genyonemus lineatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus",0,1,0,0,0,0,1,0,1,1,1,0,0,1
"Actinopterygii","Anguilliformes","Congridae","Gnathophis","Gnathophis cinctus",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis","Gonatopsis borealis",0,1,1,0,0,0,1,1,1,1,0,0,0,1
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus berryi",0,0,1,0,0,0,1,0,0,1,0,0,0,1
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus californiensis",0,1,0,0,0,0,1,1,0,0,0,0,0,1
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus onyx",0,1,0,0,0,0,1,1,1,1,0,1,0,1
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus pyros",0,1,0,0,0,0,1,1,0,1,0,0,0,1
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus steenstrupi",1,1,0,0,0,0,1,0,0,0,0,0,1,1
