"class","order","family","genus","sci_name","common_name","tax_level","qual_found","lipid_ww_percent","protein_ww_percent","energy_ww_kj_g","energy_method","lipid_ww","lipid_dw","lipid_afdw","protein_ww","protein_dw","protein_afdw","energy_ww","energy_dw","energy_afdw","n","water","ash_ww","ash_dw","life_stage","age","sex","ww_mean_g","ww_min_g","ww_max_g","length_mean_cm","length_min_cm","length_max_cm","length_type","start_year","end_year","start_month","end_month","start_day","end_day","lat","long","longhurst_province","specific_location","ocean_basin","publication_year","reference","url","notes"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",5.508,18.09,5.3865,"proximate_composition",NA,20.4,NA,NA,67,NA,NA,19.95,NA,19,73,NA,9.1,"adult",1.9,"F",10.704,NA,NA,14,NA,NA,"FL","1996","1996","September","September",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",6.384,18.312,5.768,"proximate_composition",NA,22.8,NA,NA,65.4,NA,NA,20.6,NA,21,72,NA,8.6,"adult",2,"F",10.893,NA,NA,14.4,NA,NA,"FL","1996","1996","August","August",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",6.6981,16.4897,5.56561,"proximate_composition",NA,24.9,NA,NA,61.3,NA,NA,20.69,NA,21,73.1,NA,9.3,"adult",2.3,"F",9.257,NA,NA,13.8,NA,NA,"FL","1996","1996","June","June",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",6.4944,16.368,5.4648,"proximate_composition",NA,24.6,NA,NA,62,NA,NA,20.7,NA,21,73.6,NA,9.1,"adult",2.3,"M",9.242,NA,NA,13.7,NA,NA,"FL","1996","1996","June","June",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",4.9794,17.3634,5.04648,"proximate_composition",NA,19.3,NA,NA,67.3,NA,NA,19.56,NA,22,74.2,NA,9.4,"adult",1.9,"M",10.814,NA,NA,14.2,NA,NA,"FL","1996","1996","August","August",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",4.0338,16.8399,4.58541,"proximate_composition",NA,16.6,NA,NA,69.3,NA,NA,18.87,NA,27,75.7,NA,10.7,"adult",1.9,"M",8.56,NA,NA,13.2,NA,NA,"FL","1996","1996","September","September",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",2.1522,15.9938,3.69039,"proximate_composition",NA,10.2,NA,NA,75.8,NA,NA,17.49,NA,27,78.9,NA,12.1,"adult",2.1,"M",11.706,NA,NA,14.4,NA,NA,"FL","1996","1996","October","October",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",2.8544,16.6581,4.08536,"proximate_composition",NA,12.8,NA,NA,74.7,NA,NA,18.32,NA,32,77.7,NA,10.3,"adult",1.9,"F",10.942,NA,NA,13.8,NA,NA,"FL","1996","1996","October","October",NA,NA,59.39,-152.8,"ALSK","Kachemak Bay, Lower Cook Inlet, Alaska","Pacific Ocean",1999,"Robards, M. D., Anthony, J. A., Rose, G. A. & Piatt, J. F. Changes in proximate composition and somatic energy content for Pacific sand lance (Ammodytes hexapterus) from Kachemak Bay, Alaska relative to maturity and season. Journal of Experimental Marine Biology and Ecology 242, 245–258 (1999).","10.1016/S0022-0981(99)00102-1","mass estimated from dry mass and moisture"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",6.49,NA,NA,NA,6.49,NA,NA,NA,NA,NA,NA,NA,NA,5,73.22,2.81,NA,"adult",NA,NA,16.3,12,23.7,16.5,14.7,19.1,"TL","1993","1994","July","August",NA,NA,54.9,-161.8165,"ALSK","Kodiak Archepeligo","Pacific Ocean",1997,"Van Pelt, T. I., Piatt, J. F., Lance, B. K. & Roby, D. D. Proximate composition and energy density of some north pacific forage fishes. Comparative Biochemistry and Physiology Part A: Physiology 118, 1393–1398 (1997).","10.1016/S0300-9629(97)00240-5",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",4.74,NA,NA,NA,4.74,NA,NA,NA,NA,NA,NA,NA,NA,12,75.45,2.51,NA,"adult",1,NA,5.8,3.9,8.4,12.2,11,13.2,"TL","1993","1994","July","August",NA,NA,54.9,-161.8165,"ALSK","Kodiak Archepeligo","Pacific Ocean",1997,"Van Pelt, T. I., Piatt, J. F., Lance, B. K. & Roby, D. D. Proximate composition and energy density of some north pacific forage fishes. Comparative Biochemistry and Physiology Part A: Physiology 118, 1393–1398 (1997).","10.1016/S0300-9629(97)00240-5","Lifestage estimated from length and age. Likely just barely an adult"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",4.1,16.4,4.8,"proximate_composition",4.1,NA,NA,16.4,NA,NA,4.8,NA,NA,NA,76.9,NA,NA,NA,NA,NA,8.3,NA,NA,12.01,NA,NA,"FL",NA,NA,"December","December",NA,NA,NA,NA,"PSAE","Lynn Canal and Frederick Sound, Southeastern Alaska","Pacific Ocean",2011,"Vollenweider, J. J., Heintz, R. A., Schaufler, L. & Bradshaw, R. Seasonal cycles in whole-body proximate composition and energy content of forage fish vary with water depth. Mar Biol 158, 413–427 (2011).","10.1007/s00227-010-1569-3","Explicit values for proximate composition and energy available by month collected in appendix. Mean length/mass in main paper. Sample size per month in main paper as well as month/year collected, however this does not align with values for nutrients, so was excluded (come back to this)"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.5,16.8,4.6,"proximate_composition",3.5,NA,NA,16.8,NA,NA,4.6,NA,NA,NA,76.8,NA,NA,NA,NA,NA,8.3,NA,NA,12.01,NA,NA,"FL",NA,NA,"March","March",NA,NA,NA,NA,"PSAE","Lynn Canal and Frederick Sound, Southeastern Alaska","Pacific Ocean",2011,"Vollenweider, J. J., Heintz, R. A., Schaufler, L. & Bradshaw, R. Seasonal cycles in whole-body proximate composition and energy content of forage fish vary with water depth. Mar Biol 158, 413–427 (2011).","10.1007/s00227-010-1569-3","Explicit values for proximate composition and energy available by month collected in appendix. Mean length/mass in main paper. Sample size per month in main paper as well as month/year collected, however this does not align with values for nutrients, so was excluded (come back to this)"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.7,17.8,4.9,"proximate_composition",3.7,NA,NA,17.8,NA,NA,4.9,NA,NA,NA,75.9,NA,NA,NA,NA,NA,8.3,NA,NA,12.01,NA,NA,"FL",NA,NA,"May","May",NA,NA,NA,NA,"PSAE","Lynn Canal and Frederick Sound, Southeastern Alaska","Pacific Ocean",2011,"Vollenweider, J. J., Heintz, R. A., Schaufler, L. & Bradshaw, R. Seasonal cycles in whole-body proximate composition and energy content of forage fish vary with water depth. Mar Biol 158, 413–427 (2011).","10.1007/s00227-010-1569-3","Explicit values for proximate composition and energy available by month collected in appendix. Mean length/mass in main paper. Sample size per month in main paper as well as month/year collected, however this does not align with values for nutrients, so was excluded (come back to this)"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",8,18.2,6.6,"proximate_composition",8,NA,NA,18.2,NA,NA,6.6,NA,NA,NA,71.8,NA,NA,NA,NA,NA,8.3,NA,NA,12.01,NA,NA,"FL",NA,NA,"July","July",NA,NA,NA,NA,"PSAE","Lynn Canal and Frederick Sound, Southeastern Alaska","Pacific Ocean",2011,"Vollenweider, J. J., Heintz, R. A., Schaufler, L. & Bradshaw, R. Seasonal cycles in whole-body proximate composition and energy content of forage fish vary with water depth. Mar Biol 158, 413–427 (2011).","10.1007/s00227-010-1569-3","Explicit values for proximate composition and energy available by month collected in appendix. Mean length/mass in main paper. Sample size per month in main paper as well as month/year collected, however this does not align with values for nutrients, so was excluded (come back to this)"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific sand lance","species","yes",NA,NA,6.22,"proximate_composition",NA,NA,NA,NA,NA,NA,6.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004","2004","August","August",NA,NA,57.8,-152.1,"ALSK","Western Gulf of Alaska, Near Kodiak Island","Pacific Ocean",2006,"Knoth, B. A. Arrowtooth Flounder Atheresthes stomias Diet and Prey Consumption Near Kodiak Island, Alaska. University of Alaska Fairbanks 1–170 (2006) doi:NA.","https://seagrant.uaf.edu/map/gap/fish/publications/knoth2006.pdf","Other energy density values available for this species in table, though these are estimated based on prior increases. Lat/long roughly estimated based upon statement ""Sampling stations were located within a 20 nmi radius around Long Island and encompassed waters of Chiniak and Marmot Bays""."
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",4.6537,NA,5.06,"proximate_composition",NA,17.3,NA,NA,NA,NA,5.06,20,NA,39,73.1,NA,NA,NA,NA,NA,2.58,1.21,3.71,NA,7,9.9,"SL","1995","1996","May","August",NA,NA,NA,NA,"ALSK","Prince William Sound and Lower Cook Inlet; Northern Gulf of Alaska","Pacific Ocean",2000,"Anthony, J. A., Roby, D. D. & Turco, K. R. Lipid content and energy density of forage fishes from the northern Gulf of Alaska. Journal of Experimental Marine Biology and Ecology 248, 53–78 (2000).","10.1016/S0022-0981(00)00159-3","Size class <100mm SL"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",6.2946,NA,5.74,"proximate_composition",NA,23.4,NA,NA,NA,NA,5.74,20.6,NA,242,73.1,NA,NA,NA,NA,NA,9.69,3.7,26.5,NA,10.3,18.8,"SL","1995","1996","May","August",NA,NA,NA,NA,"ALSK","Prince William Sound and Lower Cook Inlet; Northern Gulf of Alaska","Pacific Ocean",2000,"Anthony, J. A., Roby, D. D. & Turco, K. R. Lipid content and energy density of forage fishes from the northern Gulf of Alaska. Journal of Experimental Marine Biology and Ecology 248, 53–78 (2000).","10.1016/S0022-0981(00)00159-3","Size Class >= 100mm SL"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.77,17.27,5.434,"bomb_calorimetry",3.77,NA,NA,17.27,NA,NA,5.434,NA,NA,10,72.47,2.61,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,"1999","1999","July","August",NA,NA,NA,NA,"NWCS","Prince Edward Island, Canada","Atlantic Ocean",2002,"Bando, M. Comparing the nutritional quality of Stellar Sea Lion (Eumetopias jubatus) diets. University of Alaska Fairbanks 1–49 (2002) doi:NA.","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=047ab7b22d50abf59260f440825ced06a6ca552a","Combined values from tables 2, 3, and 7 (values for %water match up so can assume when ref=1 that is same sample size). Values for 2 different methods of lipid extraction given: Chloroform/methanol (2:1) and hexane/isopropyl alcohol (7:2), states that h/ia was more accurate lipid extraction solvent, so value for lipid_ww from h/ia. No length type listed in source."
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.86,17.63,NA,NA,3.86,NA,NA,17.63,NA,NA,NA,NA,NA,12,76.14,2.95,NA,NA,NA,NA,NA,NA,NA,8.325,NA,NA,"TL","1992","1992","August","August","31","31",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.3,15.88,NA,NA,3.3,NA,NA,15.88,NA,NA,NA,NA,NA,40,77.28,3.41,NA,NA,NA,NA,NA,NA,NA,11.051,NA,NA,"TL","1993","1993","June","June","21","21",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",2.28,15.26,NA,NA,2.28,NA,NA,15.26,NA,NA,NA,NA,NA,58,79.52,3.24,NA,NA,NA,NA,NA,NA,NA,9.012,NA,NA,"TL","1993","1993","June","June","21","21",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.65,16.49,NA,NA,3.65,NA,NA,16.49,NA,NA,NA,NA,NA,52,76.96,3.35,NA,NA,NA,NA,NA,NA,NA,8.51,NA,NA,"TL","1993","1993","August","August","18","18",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",4.64,18.24,NA,NA,4.64,NA,NA,18.24,NA,NA,NA,NA,NA,9,75.26,2.21,NA,NA,NA,NA,NA,NA,NA,12.667,NA,NA,"TL","1993","1993","August","August","19","19",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",1.36,15.64,NA,NA,1.36,NA,NA,15.64,NA,NA,NA,NA,NA,19,80.32,3.82,NA,NA,NA,NA,NA,NA,NA,8.858,NA,NA,"TL","1994","1994","April","April","24","24",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.29,15.4,NA,NA,3.29,NA,NA,15.4,NA,NA,NA,NA,NA,43,78.69,3.91,NA,NA,NA,NA,NA,NA,NA,9.465,NA,NA,"TL","1994","1994","May","May","23","23",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.35,15.65,NA,NA,3.35,NA,NA,15.65,NA,NA,NA,NA,NA,12,78.05,3.96,NA,NA,NA,NA,NA,NA,NA,14.458,NA,NA,"TL","1994","1994","May","May","23","23",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.14,15.85,NA,NA,3.14,NA,NA,15.85,NA,NA,NA,NA,NA,26,78.53,3.31,NA,NA,NA,NA,NA,NA,NA,10.862,NA,NA,"TL","1994","1994","May","May","23","23",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.74,15.71,NA,NA,3.74,NA,NA,15.71,NA,NA,NA,NA,NA,24,78.86,3.52,NA,NA,NA,NA,NA,NA,NA,10.85,NA,NA,"TL","1994","1994","May","May","24","24",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",3.53,16.14,NA,NA,3.53,NA,NA,16.14,NA,NA,NA,NA,NA,39,78.2,2.85,NA,NA,NA,NA,NA,NA,NA,10.938,NA,NA,"TL","1994","1994","June","June","8","8",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Pacific Sand Lance","species","yes",2.7,15.42,NA,NA,2.7,NA,NA,15.42,NA,NA,NA,NA,NA,35,79.21,3.12,NA,NA,NA,NA,NA,NA,NA,9.489,NA,NA,"TL","1994","1994","June","June","8","8",NA,NA,"ALSK","Gulf of Alaska","Pacific Ocean",1999,"Payne, S. A., Johnson, B. A. & Otto, R. S. Proximate composition of some north-eastern Pacific forage fish species. Fisheries Oceanography 8, 159–177 (1999).","10.1046/j.1365-2419.1999.00097.x",NA
